ParcelID,Taxes2021,Taxes2020,Taxes2019,Taxes2018,Taxes2017,Taxes2016,Taxes2015,Mortgage Company,Mortgage.Service Co Name
15000032700,,,,,,,,,
16130256800,,,,,,,,7501,CORE LOGIC
21000090039,,,,,,,,6300,WELLS FARGO
9000072103,"2,239.28",,,,,,,,
31000015500,,,,,,,,,
15000326800,,,,,,,,,
15000074400,,,,,,,,,
4000037511,,,,,,,,,
49090089500,,,,,,,,,
36030170112,,,,,,,,,
15000013600,"3,262.99",,,,,,,,
8000107100,,,,,,,,7501,CORE LOGIC
5000062637,,,,,,,,,
5000002917,,,,,,,,7501,CORE LOGIC
10000179414,,,,,,,,,
38020033975,,,,,,,,7501,CORE LOGIC
33000180500,,,,,,,,,
7000074801,,,,,,,,,
5000062013,,,,,,,,6300,WELLS FARGO
15000079600,,,,,,,,6455,LERETA
49110117900,141.6,802.08,,,,,,,
46000068225,209.48,554.33,,,,,,,
36030170170,,,,,,,,,
49110168500,,,,,,,,,
45000098800,,,,,,,,,
38060113800,,,,,,,,,
30000242913,,,,,,,,7501,CORE LOGIC
30000242907,,,,,,,,7501,CORE LOGIC
15000013400,,,,,,,,,
5000002947,,,,,,,,,
49110115200,66.07,,,,,,,,
21000089940,,,,,,,,,
38040204734,,,,,,,,7501,CORE LOGIC
20000123800,,,,,,,,7501,CORE LOGIC
8000007100,,,,,,,,,
5000062497,,,,,,,,6455,LERETA
5000062556,,,,,,,,7501,CORE LOGIC
15000324700,,,,,,,,,
5000062827,,,,,,,,7501,CORE LOGIC
2000278939,459.37,,,,,,,,
13000039654,,,,,,,,,
38060110200,,,,,,,,,
15000277800,,,,,,,,,
5000062807,,,,,,,,,
16040122500,,,,,,,,,
8000030200,,,,,,,,6300,WELLS FARGO
9000072116,"2,239.28",,,,,,,,
36070474231,,,,,,,,,
31000090700,,,,,,,,6300,WELLS FARGO
8000095000,,,,,,,,,
16040131000,,,,,,,,6300,WELLS FARGO
23000026733,,,,,,,,,
15000273400,,,,,,,,,
48000276231,,,,,,,,,
11000276900,,,,,,,,,
2000280018,322.48,349.2,,,,,,,
49110168300,,,,,,,,,
8000064300,,,,,,,,,
8000030600,,,,,,,,,
38030195400,,,,,,,,,
23000026659,,,,,,,,7501,CORE LOGIC
5000062010,,,,,,,,,
7000038200,,,,,,,,,
36070474133,,,,,,,,7501,CORE LOGIC
23000026611,,,,,,,,,
2000278719,,,,,,,,,
8000055700,,,,,,,,,
25000251856,,,,,,,,,
43000157100,,,,,,,,6300,WELLS FARGO
34000000311,"3,496.86",,,,,,,,
15000031100,,,,,,,,,
8000122300,,,,,,,,,
37000205630,,,,,,,,,
15000030000,,,,,,,,,
47000021800,,,,,,,,,
8000095600,,,,,,,,,
2000278705,,,,,,,,,
8000123700,,,,,,,,7501,CORE LOGIC
43000170500,,,,,,,,,
36070474134,,,,,,,,,
8000069200,,,,,,,,7501,CORE LOGIC
36070474141,"1,675.90",,,,,,,,
34000008412,,,,,,,,,
36030170058,,,,,,,,,
16040002200,72.17,,,,,,,,
16040084400,,,,,,,,,
23000026805,,,,,,,,,
27000007320,,,,,,,,,
34000008417,,,,,,,,,
23000026666,,,,,,,,,
16040003800,,,,,,,,,
15000183400,,,,,,,,,
38020033961,,,,,,,,,
21000090211,,,,,,,,,
16040219100,,,,,,,,7501,CORE LOGIC
34000135301,,,,,,,,,
15000011700,,,,,,,,,
10000014000,,,,,,,,7501,CORE LOGIC
7000201000,186.6,203.74,212.45,184.49,357.24,425.42,386.08,,
16040136100,,,,,,,,,
37000205642,,,,,,,,,
33000108400,,,,,,,,,
38060073100,,,,,,,,7501,CORE LOGIC
33000183300,,,,,,,,7501,CORE LOGIC
13000039702,,,,,,,,6300,WELLS FARGO
5000062407,,,,,,,,,
38040204756,,,,,,,,,
15000054900,,,,,,,,,
5000062286,,,,,,,,7501,CORE LOGIC
21000089984,,,,,,,,,
49110190900,166.84,,,,,,,,
9000345400,,,,,,,,,
38060109500,,,,,,,,7501,CORE LOGIC
15000326700,,,,,,,,7501,CORE LOGIC
16040134800,,,,,,,,7501,CORE LOGIC
5000002996,,,,,,,,,
10000212800,,,,,,,,,
8000027800,,,,,,,,7501,CORE LOGIC
37000235100,,,,,,,,7501,CORE LOGIC
8000017700,,,,,,,,,
15000076600,,,,,,,,,
5000062819,,,,,,,,7501,CORE LOGIC
47000049600,,,,,,,,,
5000062275,,,,,,,,,
2000278767,,,,,,,,,
16040220900,,,,,,,,7501,CORE LOGIC
33000184300,,,,,,,,,
15000325600,,,,,,,,,
49110203300,,,,,,,,,
38020033946,,,,,,,,,
49090053000,,,,,,,,,
16020059700,"1,655.86",558.57,,,,,,,
36070474294,,,,,,,,,
34000188817,,,,,,,,7501,CORE LOGIC
36070474330,,,,,,,,,
36010064451,,,,,,,,,
16060129747,,,,,,,,6300,WELLS FARGO
34000008360,,,,,,,,,
38030222400,,,,,,,,7501,CORE LOGIC
5000062890,,,,,,,,,
38060041500,,,,,,,,,
49110191800,,,,,,,,,
21000089952,,,,,,,,,
36070474222,,,,,,,,6300,WELLS FARGO
49010123000,,,,,,,,,
10000117901,,,,,,,,6300,WELLS FARGO
8000059400,,,,,,,,,
8000058000,,,,,,,,7501,CORE LOGIC
34000008404,,,,,,,,,
37000205607,,,,,,,,,
29000066700,,,,,,,,,
48000253734,,,,,,,,,
5000059200,,,,,,,,7501,CORE LOGIC
36070474393,,,,,,,,,
15000076400,,,,,,,,,
31000016000,,,,,,,,6300,WELLS FARGO
49110212200,,,,,,,,,
30000280735,,,,,,,,7501,CORE LOGIC
38060111800,,,,,,,,7501,CORE LOGIC
21000089997,,,,,,,,,
15000036400,,,,,,,,,
23000026647,,,,,,,,7501,CORE LOGIC
8000089700,,,,,,,,,
4000001686,,,,,,,,,
7000074200,,,,,,,,,
5000062381,,,,,,,,,
48000276257,,,,,,,,,
8000020500,,,,,,,,7501,CORE LOGIC
36010064413,,,,,,,,,
38060067500,,,,,,,,7501,CORE LOGIC
2000278927,,,,,,,,,
21000201741,"1,652.31","3,550.37",,,,,,,
8000105700,,,,,,,,,
34000083905,,,,,,,,,
37000205616,,,,,,,,,
5000062798,,,,,,,,7501,CORE LOGIC
16040155100,,,,,,,,,
46000068261,121.27,228.76,239.45,221.19,231.95,589.24,427.76,,
49010084600,,,,,,,,,
